"old.code","new.code","type.org","broad.category","major.group","univ","hosp","two.digit","further.category","division.subdivision","broad.category.description","major.group.description","code.name","division.subdivision.description","keywords","further.category.desciption"
"A1152","MS-ART-A52","MS","ART","A",FALSE,FALSE,"11","52","52","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that develop and maintain educational exhibits that are structured for the size, interests and intellectual capacity of young children. Childrens museums are participatory and allow visitors to interact with the exhibits (touching, exploring, manipulating), and many offer organized lessons for groups of school children that focus on one or more of the exhibits.  NOTE:  See also A57, Science and Technology Museums, for other organizations with substantial activities and collections for children."
"A1154","MS-ART-A54","MS","ART","A",FALSE,FALSE,"11","54","54","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures."
"A1160","MS-ART-A60","MS","ART","A",FALSE,FALSE,"11","60","60","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below."
"A1161","MS-ART-A61","MS","ART","A",FALSE,FALSE,"11","61","61","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that operate facilities including theaters for the performing arts."
"A1162","MS-ART-A62","MS","ART","A",FALSE,FALSE,"11","62","62","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing."
"A1165","MS-ART-A65","MS","ART","A",FALSE,FALSE,"11","65","65","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61)"
"A1169","MS-ART-A69","MS","ART","A",FALSE,FALSE,"11","69","69","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations whose primary activity is the operation of a symphony"
"A1170","MS-ART-A70","MS","ART","A",FALSE,FALSE,"11","70","70","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion)."
"A1180","MS-ART-A80","MS","ART","A",FALSE,FALSE,"11","80","80","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Single Organization",NA,"Providing support to organizations that promote awareness of and appreciation for history and historical artifacts.  Use this code for organizations that are not specified below."
"A12","MM-ART-A00","MM","ART","A",FALSE,FALSE,"12","","00","Arts, Culture & Humanities","Arts, Culture & Humanities","Fund Raising & Fund Distribution","Monetary Support - Multiple Organizations",""," "
"A1226","MM-ART-A26","MM","ART","A",FALSE,FALSE,"12","26","26","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community."
"A1230","MM-ART-A30","MM","ART","A",FALSE,FALSE,"12","30","30","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below."
"A1232","MM-ART-A32","MM","ART","A",FALSE,FALSE,"12","32","32","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television."
"A1260","MM-ART-A60","MM","ART","A",FALSE,FALSE,"12","60","60","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below."
"A1261","MM-ART-A61","MM","ART","A",FALSE,FALSE,"12","61","61","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations that operate facilities including theaters for the performing arts."
"A1265","MM-ART-A65","MM","ART","A",FALSE,FALSE,"12","65","65","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Monetary Support - Multiple Organizations",NA,"Providing support to organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61)"
"A19","NS-ART-A00","NS","ART","A",FALSE,FALSE,"19","","00","Arts, Culture & Humanities","Arts, Culture & Humanities","Support N.E.C.","Nonmonetary Support Not Elsewhere Classified (N.E.C.)",""," "
"A1920","NS-ART-A20","NS","ART","A",FALSE,FALSE,"19","20","20","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Nonmonetary Support Not Elsewhere Classified (N.E.C.)",NA,"Providing support to organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts."
"A1961","NS-ART-A61","NS","ART","A",FALSE,FALSE,"19","61","61","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Nonmonetary Support Not Elsewhere Classified (N.E.C.)",NA,"Providing support to organizations that operate facilities including theaters for the performing arts."
"A1969","NS-ART-A69","NS","ART","A",FALSE,FALSE,"19","69","69","Arts, Culture & Humanities","Arts, Culture & Humanities",NA,"Nonmonetary Support Not Elsewhere Classified (N.E.C.)",NA,"Providing support to organizations whose primary activity is the operation of a symphony"
"A20","RG-ART-A20","RG","ART","A",FALSE,FALSE,"20","","20","Arts, Culture & Humanities","Arts, Culture & Humanities","Arts & Culture","Organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts.","Arts Centers, Arts Guilds, Cultural Centers, Multipurpose Arts, Multipurpose Cultural Organizations"," "
"A23","RG-ART-A23","RG","ART","A",FALSE,FALSE,"23","","23","Arts, Culture & Humanities","Arts, Culture & Humanities","Cultural & Ethnic Awareness","Organizations that promote artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organize activities and events which promote cultural exchange locally or nationally; and encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population.","Ancient Order of Hibernians, Cultural Awareness, Cultural Heritage, Cultural Centers, Cultural Fairs, Ethnic Awareness, Ethnic Fairs, Heritage, National Day Celebrations"," "
"A24","RG-ART-A24","RG","ART","A",FALSE,FALSE,"24","","24","Arts, Culture & Humanities","Arts, Culture & Humanities","Folk Arts","Organizations that produce, promote and disseminate information on traditional music, dance, theater or folklore of various cultures
and organizations that perform, present and support folk art in a specific region.","Folk Art, Folk Culture, Folk Dance, Folk Dancing, Folk Life, Folk Singing, Folk Songs, Folkart, Naive Art, Old Songs, Traditional Arts, Traditional Music"," "
"A25","RG-ART-A25","RG","ART","A",FALSE,FALSE,"25","","25","Arts, Culture & Humanities","Arts, Culture & Humanities","Arts Education","Organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education.","Art Classes (non-degree), Art Instruction (non-degree), Art Schools (non-degree), Arts Education or art education (non-degree), Arts Workshops, Informal Arts Education, Informal Arts Instruction, Schools of Art (non-degree)"," "
"A26","RG-ART-A26","RG","ART","A",FALSE,FALSE,"26","","26","Arts, Culture & Humanities","Arts, Culture & Humanities","Arts & Humanities Councils & Agencies","Organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community.","Arts Agencies, Arts Alliances, Arts and Humanities Councils, Arts Councils, Councils on the Arts, Humanities Councils"," "
"A27","RG-ART-A27","RG","ART","A",FALSE,FALSE,"27","","27","Arts, Culture & Humanities","Arts, Culture & Humanities","Community Celebrations","Organizations that are engaged in the promotion, production or performance of community and public celebratory events.","Arts Fairs, Arts Festivals, Celebratory Events, Community Celebrations, First Nights"," "
"A30","RG-ART-A30","RG","ART","A",FALSE,FALSE,"30","","30","Arts, Culture & Humanities","Arts, Culture & Humanities","Media & Communications","Organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.","Broadcasting, Communications, Electronic Media, Media, Public Servers, Web Site Development, Web Site Hosting, Website Development, Website Hosting"," "
"A31","RG-ART-A31","RG","ART","A",FALSE,FALSE,"31","","31","Arts, Culture & Humanities","Arts, Culture & Humanities","Film & Video","Organizations that produce films, videos and holographic images for a variety of educational, documentary and cultural purposes, and/or promote public appreciation of film and video. Also included are organizations that encourage new, foreign and independent filmmakers through the organization and presentation of film expositions and festivals or which show old or difficult to obtain films in noncommercial facilities.","Documentary Film Production, Film, Film Appreciation, Film Expositions, Film Festivals, Film Preservation, Film Production, Foreign Films, Holographic Images, Holography, Independent Film Makers, Video, Video Appreciation, Video Production"," "
"A32","RG-ART-A32","RG","ART","A",FALSE,FALSE,"32","","32","Arts, Culture & Humanities","Arts, Culture & Humanities","Television","Organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television.","Cable Television, Cable TV, Closed Circuit Television, Community Access Television, Community Television, Educational Television, Interactive Television, Public Television, School Television, Television Production"," "
"A33","RG-ART-A33","RG","ART","A",FALSE,FALSE,"33","","33","Arts, Culture & Humanities","Arts, Culture & Humanities","Printing & Publishing","Organizations that publish a variety of materials on diverse topics. Includes university presses.","Book Publishing, Journalism, Literary Journals and Presses, Magazine Publishing, Newspaper Publishing, Publications, Publishing, University Presses"," "
"A34","RG-ART-A34","RG","ART","A",FALSE,FALSE,"34","","34","Arts, Culture & Humanities","Arts, Culture & Humanities","Radio","Organizations engaged in radio productions and broadcast, including public radio stations and radio stations that offer programming that is designed for community residents who are blind or visually impaired (radio reading services).","National Public Radio, NPR, Public Radio Broadcasting, Radio Reading Services"," "
"A40","RG-ART-A40","RG","ART","A",FALSE,FALSE,"40","","40","Arts, Culture & Humanities","Arts, Culture & Humanities","Visual Arts","Organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.","Architectural Centers, Architectural Services, Art Conservation, Art Galeeries, Art Printmaking, Ceramic Arts, Clay Arts, Computer Art, Crafts, Decorative Arts, Drawing, Enamelwork, Experimental Arts, Fiber Art, Fine Arts, Glass Arts, Intermedia, Jewelry Arts, Lacquer Work, Metal Arts, Mixed Media, Mosaics, Origami, Painting, Paper Arts, Photography, Pottery, Printmaking, Quilting, Sculpture, Stained Glass, Studio Arts, Textile Arts, Visual Arts, Visual Arts Appreciation, Weaving Arts"," "
"A50","RG-ART-A50","RG","ART","A",FALSE,FALSE,"50","","50","Arts, Culture & Humanities","Arts, Culture & Humanities","Museums","Organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below.","Archaeological Museums, Archeological Museums, Automobile Museums, Boat Museums, Circus Museums, Comedy Museums, Crime Museums, Culture-Specific Museums, Doll Museums, Film Museums, Fire-Fighting Museums, Forestry Museums, Gun Museums, Hall of Fame, Historic Ships, Hobby Museums, Holocaust Museums, Lapidary Arts Museums, Logging/Lumber Museums, Mapparium Museums, Marine Museums, Maritime Museums, Model Train Museums, Money/Numismatic Museums, Motion Picture Museums, Musical Instrument Museums, Naval Museums, Observatories, Philatelic Museums, Planetaria, Planetarium, Postal Museums, Railroad Museums, Religious Museums, Scouting Museums, Ship Museums, Specialized Museums, Sport Halls of Fame, Sports Museums, Theater Museums, Toy Museums, Train Museums, Transportation Museums, Video Museums, Visitors Center, Wax Museums, Whaling Museums, Woodcarving Museums"," "
"A51","RG-ART-A51","RG","ART","A",FALSE,FALSE,"51","","51","Arts, Culture & Humanities","Arts, Culture & Humanities","Art Museums","Organizations that acquire, preserve and exhibit collections of objects including fine art, decorative art, folk/ethnic art and textiles that are collected primarily for their aesthetic qualities and their importance as representatives of a particular artistic tradition or style.","Art Exhibitions, Art Galleries, Contemporary Art Museums, Decorative Art Museums, Ethnic Art Museums, Folk Art Museums, Modern Art Museums, Textile Museums"," "
"A52","RG-ART-A52","RG","ART","A",FALSE,FALSE,"52","","52","Arts, Culture & Humanities","Arts, Culture & Humanities","Children's Museums","Organizations that develop and maintain educational exhibits that are structured for the size, interests and intellectual capacity of young children. Childrens museums are participatory and allow visitors to interact with the exhibits (touching, exploring, manipulating), and many offer organized lessons for groups of school children that focus on one or more of the exhibits.  NOTE:  See also A57, Science and Technology Museums, for other organizations with substantial activities and collections for children.","Discovery Museums, Youth Museums"," "
"A53","RG-ART-A53","RG","ART","A",FALSE,FALSE,"53","","53","Arts, Culture & Humanities","Arts, Culture & Humanities","Folk Arts Museums","Specialized museums, foundations and other organizations whose activities and collections preserve and promote the culture and history of a specific nationality, or racial or ethnic group, e.g. Native Americans.",""," "
"A54","RG-ART-A54","RG","ART","A",FALSE,FALSE,"54","","54","Arts, Culture & Humanities","Arts, Culture & Humanities","History Museums","Organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures.","Local Art & History Museums, Historic House Museums, Historical Society Museum, Colonial Farm Museums, Costume Museums, Interpretive Farm Museums, History Museums, Living History Museums, Military Museums, War Museums"," "
"A56","RG-ART-A56","RG","ART","A",FALSE,FALSE,"56","","56","Arts, Culture & Humanities","Arts, Culture & Humanities","Natural History & Natural Science Museums","Organizations that acquire, preserve, research and exhibit collections of objects that have significance in the natural sciences including botany, zoology, geology and physical and cultural anthropology.","Anthropology Museums, Entomology Museums, Ethnology Museums, Geology Museums, Herbarium Museums, Herpetology Museums, Mineralogy Museums, Natural History Museums, Natural Science Museums, Ornithology Museums"," "
"A57","RG-ART-A57","RG","ART","A",FALSE,FALSE,"57","","57","Arts, Culture & Humanities","Arts, Culture & Humanities","Science & Technology Museums","Organizations that develop and maintain educational exhibits which illustrate principles from mathematics and the physical sciences.","Agriculture Museums, Aeronautical Museums, Aeronautics and Space Museums, Aerospace Museums, Air and Space Museums, Astronomy Museums, Communications Museums, Industrial Museums, Medical Science Museums, Mining Museums, Pharmacology Museums, Science Museums, Space Museums, Technology Museums"," "
"A60","RG-ART-A60","RG","ART","A",FALSE,FALSE,"60","","60","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts","Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.","Circus Arts, Experimental Companies, Multimedia Companies, Performing Arts, Performing Arts Series"," "
"A61","RG-ART-A61","RG","ART","A",FALSE,FALSE,"61","","61","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts Centers","Organizations that operate facilities including theaters for the performing arts.","Performing arts theater facilities, Theater facilities, Performing arts presenters"," "
"A62","RG-ART-A62","RG","ART","A",FALSE,FALSE,"62","","62","Arts, Culture & Humanities","Arts, Culture & Humanities","Dance","Organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing.","African Dance, Choreography, Contra Dance, Country and Western Dance, Dance Companies, Dance Festivals, Dance Groups, Ethnic Dance, Flamenco Ballet, Flamenco Dancing, Folk Dance, Interpretive Dance, Irish Dance, Israeli Dance, Jazz Dance, Line Dance, Modern Dance, Polka, Square Dance, Tap Dance, Traditional Dance"," "
"A63","RG-ART-A63","RG","ART","A",FALSE,FALSE,"63","","63","Arts, Culture & Humanities","Arts, Culture & Humanities","Ballet","Dance organizations that create and/or perform primarily ballet.","Ballet Companies, Ballet Troupes"," "
"A65","RG-ART-A65","RG","ART","A",FALSE,FALSE,"65","","65","Arts, Culture & Humanities","Arts, Culture & Humanities","Theater","Organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61)","Acting Companies, Amateur Theaters, Broadway Shows, Burlesque, Childrens Theaters, Childrens Performances, Childrens Plays, Childrens Theater, Comedies, Community Theaters, Community Theatrical Groups, Drama, Dramatic Arts, Dramatic Productions, Marionette Shows, Mimes, Musical Plays, Musical Theater, Musicals, Plays, Playwriting, Puppet Shows, Shakespeare Festivals, Shakespearean Festivals, Stage Plays, Storytelling, Summer Stock, Theater Companies, Theater Festivals, Theater Performances, Theater Troupes, Tragedies, Traveling Theaters"," "
"A68","RG-ART-A68","RG","ART","A",FALSE,FALSE,"68","","68","Arts, Culture & Humanities","Arts, Culture & Humanities","Music","Organizations whose primary activity is the production of musical events, including concert series and music festivals.","Concert Series, Music Competitions, Music Composition, Music Festivals, Musical Events"," "
"A69","RG-ART-A69","RG","ART","A",FALSE,FALSE,"69","","69","Arts, Culture & Humanities","Arts, Culture & Humanities","Symphony Orchestras","Organizations whose primary activity is the operation of a symphony",""," "
"A6A","RG-ART-A6A","RG","ART","A",FALSE,FALSE,"6A","","6A","Arts, Culture & Humanities","Arts, Culture & Humanities","Opera","Organizations whose primary activity is the production of operas.","Comic Operas, Light Operas, Opera Companies, Operettas"," "
"A6B","RG-ART-A6B","RG","ART","A",FALSE,FALSE,"6B","","6B","Arts, Culture & Humanities","Arts, Culture & Humanities","Singing & Choral Groups","Organizations whose primary activity is the production of concerts including barbershop singing groups, glee clubs/choir groups, childrens choirs and other singing ensembles.","Barbershop Quartets, Boys Choirs, Childrens Choirs, Choirs, Choral Groups, Choruses, Church Music, Glee Clubs, Gospel Music, Religious Music, Sacred Music, Singing Ensembles, Singing Groups, Singing Societies, Sweet Adelines"," "
"A6C","RG-ART-A6C","RG","ART","A",FALSE,FALSE,"6C","","6C","Arts, Culture & Humanities","Arts, Culture & Humanities","Bands & Ensembles","Organizations that produce music not specifically covered by another category including marching bands, jazz groups, chamber music groups, blues, country music, ethnic music (e.g., Brazilian, Celtic, Afro-pop, etc.), folk music, rhythm and blues.","Bands, Brass Bands, Blues, Chamber Music, Community Bands, Country Music, Ethnic Music, Folk Music, Improvisational Music, Jazz Groups, Jazz Music, Marching Bands, Musical Groups, Rhythm and Blues, Rock Music, Youth Bands"," "
"A6E","RG-ART-A6E","RG","ART","A",FALSE,FALSE,"6E","","6E","Arts, Culture & Humanities","Arts, Culture & Humanities","Performing Arts Schools","Organizations that offer classes in the performing arts but do not confer academic degrees.","Dance Schools (non-degree), Drama Schools (non-degree), Performing Arts Schools (non-degree), Theater Schools (non-degree)"," "
